sno,sna,sarea,lng,lat,307,308,309,310,311,312,313,314,315,316,317,318
246,國立故宮博物院,士林區,121.548086,25.098743,3,2,2,2,3,3,1,0,5,5,3,0
247,木柵公園,文山區,121.560627,24.987144,12,9,9,8,7,8,5,5,2,2,16,14
248,喬治工商,大安區,121.555566,25.027123,9,10,1,0,6,3,2,5,6,8,2,2
249,中華桂林路口,萬華區,121.506624,25.037706,25,12,12,10,5,14,5,17,23,7,13,12
250,忠孝東路三段217巷口,大安區,121.539873,25.04184,20,13,10,4,1,11,20,30,29,4,2,5
251,華齡公園,士林區,121.520692,25.083023,27,9,2,12,19,10,9,7,5,0,8,14
252,大安運動中心,大安區,121.545608,25.020544,13,18,18,11,16,12,1,2,6,5,11,19
253,芝山抽水站,士林區,121.52799,25.101423,14,4,20,21,20,18,19,19,20,18,15,23
254,立功立德路口,北投區,121.471482,25.125377,5,20,16,16,25,28,24,26,25,23,17,9
255,光復南路22巷口,松山區,121.557674,25.046914,25,9,19,20,21,12,17,17,21,13,19,11
256,中山中正路口,士林區,121.527526,25.096507,15,12,6,7,4,3,0,0,0,3,0,7
257,錦德公園,萬華區,121.492637,25.023316,15,23,13,13,13,11,11,9,8,10,11,4
258,聯合醫院中興院區,大同區,121.507979,25.052096,5,9,22,28,32,35,32,33,31,22,18,14
259,南京遼寧街口,中山區,121.542168,25.051761,14,10,2,18,15,11,16,23,22,30,30,24
260,民權瑞光路口,內湖區,121.583991,25.068616,7,9,9,10,9,7,6,8,9,13,12,13
261,健康新城,松山區,121.560928,25.054095,33,30,8,2,3,8,4,13,18,20,19,27
262,永安藝文館-表演36房,文山區,121.569064,24.984144,17,10,9,16,17,14,16,15,13,13,15,16
263,至善臨溪路口,士林區,121.542153,25.097103,17,19,25,27,28,28,30,29,26,22,14,12
264,秀山區民活動中心,北投區,121.493009,25.145936,19,18,16,15,14,14,14,11,16,16,15,15
265,中央北路四段30巷口,北投區,121.478,25.135394,6,10,11,9,8,5,6,5,6,8,4,6
266,洲子一號公園,內湖區,121.564806,25.080258,12,21,34,14,13,13,19,22,22,27,26,23
267,八德中坡路口,南港區,121.580194,25.05062,9,6,1,2,13,15,12,13,16,16,15,15
268,南港高工,南港區,121.607055,25.056655,13,15,10,8,4,4,6,10,9,2,0,4
269,三軍總醫院,內湖區,121.590304,25.070723,14,17,19,19,21,20,20,17,16,17,14,9
270,雨農國小,士林區,121.529217,25.105429,26,13,22,14,9,12,12,13,19,14,18,17
271,伊通長安路口,中山區,121.534693,25.048334,8,13,28,12,16,15,17,25,28,14,10,14
272,忠順區民活動中心,文山區,121.563125,24.984707,18,11,12,12,10,11,8,6,5,5,3,0
273,芝山國小,士林區,121.535954,25.110437,20,0,23,21,24,24,25,28,26,23,29,6
274,扶輪親恩公園,內湖區,121.579833,25.066997,12,3,2,3,3,1,0,0,18,16,16,14
275,西本願寺廣場,萬華區,121.507688,25.040988,42,42,48,30,35,24,26,30,34,32,34,35
276,三興公園,信義區,121.55932,25.028679,21,5,13,8,8,14,14,13,8,9,15,19
277,中山堂,中正區,121.51025,25.044091,13,20,16,20,11,10,15,12,12,8,10,6
278,明美公園,內湖區,121.586065,25.062557,3,2,14,15,16,16,18,18,19,25,21,17
279,南港車站(興華路),南港區,121.606331,25.053432,33,21,25,6,10,14,25,11,8,14,15,14
280,士林新天地,士林區,121.51732,25.089034,20,11,15,13,16,17,19,14,17,13,16,13
281,松江公園,中山區,121.532725,25.050245,13,15,19,24,18,15,2,4,14,9,14,13
282,富台公園,信義區,121.571999,25.041935,18,17,10,20,17,14,14,16,17,11,11,11
283,中央北路四段540巷口,北投區,121.4677,25.127959,10,11,9,8,7,5,6,6,8,10,4,4
